,Price,Beds,Baths,Sqft,Acres,Price_Per_Sqft,Price_Per_Acre,Agent_Barbara Baker,Agent_Dana Christoff,Agent_Doug Burig,Agent_Eddy Homes,Agent_Foxlane Homes,Agent_HeartlandHomes,Agent_Holly Corace,Agent_Jeffrey Walker,Agent_Jim Dolanch,Agent_Joe Graziani,Agent_John Fincham,Agent_John Zywan,Agent_Karen Marshall,Agent_Kelly Robinson,Agent_Lisa McLaughlin,Agent_Maria Folino,Agent_Maronda Homes,Agent_Michael Netzel,Agent_Nichole Merrell,Agent_Ovidiu Manciu,Agent_Sally Morrison,Agent_Scarmazzi Homes,Agent_Susan Ulam,Agent_Tabitha Pauley,Agent_Valerie Loutsion,Agent_Wendy Grandel,Street_Name_2,Street_Name_Anglers,Street_Name_Basement-Free,Street_Name_Bayberry,Street_Name_Build,Street_Name_Demar,Street_Name_E,Street_Name_Franklin,Street_Name_Glenn,Street_Name_Hickory,Street_Name_Highland,Street_Name_Maple,Street_Name_McEwen,Street_Name_Orchard,Street_Name_Plan,Street_Name_Pleasant,Street_Name_Puskar,Street_Name_Rifgon,Street_Name_Roscommon,Street_Name_Scenery,Street_Name_Shady,Street_Name_Thompsonville,Street_Name_Trotwood,City_Laurel Landings,City_Magnolia Ridge,City_McMurray,City_Scarmazzi Homes: Build On Your Lot,City_Scenic Valley,City_Sherwood Pond,City_Walnut Grove
0,419000,3.0,3.0,1960.0,7.2,213.77551020408163,58194.444444444445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,270000,3.0,2.0,1788.0,7.2,151.00671140939596,37500.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2,160000,2.0,2.0,884.0,7.2,180.99547511312218,22222.222222222223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,465000,5.0,3.0,2372.0,7.2,196.03709949409782,64583.33333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4,379000,3.0,4.0,1775.0,7.2,213.5211267605634,52638.88888888889,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5,374900,4.0,3.0,1800.0,7.2,208.27777777777777,52069.444444444445,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
6,215000,3.0,2.0,2003.0,7.2,107.3389915127309,29861.11111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,334900,2.0,2.0,1766.0,7.2,189.63759909399772,46513.88888888889,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
8,399900,3.0,3.0,2012.0,7.2,198.75745526838966,55541.666666666664,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
9,529900,4.0,3.0,3180.0,7.2,166.63522012578616,73597.22222222222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
10,289900,3.0,3.0,1320.0,7.2,219.62121212121212,40263.88888888889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,415000,3.0,4.0,1703.0,7.2,243.68761009982384,57638.88888888889,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
12,154900,1.0,1.0,2003.0,7.2,77.33399900149776,21513.888888888887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,449000,4.0,4.0,2003.0,7.2,224.16375436844734,62361.11111111111,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
14,584899,4.0,3.0,2707.0,7.2,216.06908016254155,81235.97222222222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
15,129900,2.0,1.0,976.0,7.2,133.09426229508196,18041.666666666668,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,840000,4.0,4.0,2700.0,7.2,311.1111111111111,116666.66666666666,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
